@relation atributos

@attribute largura numeric
@attribute altura numeric
@attribute posicaoX-relativa numeric
@attribute posicaoY-relativa numeric
@attribute entropia numeric
@attribute segundo-momento-ang numeric
@attribute correlacao numeric
@attribute energia numeric
@attribute media numeric
@attribute variancia numeric
@attribute desvio-padrao numeric
@attribute contraste numeric
@attribute homogeneidade numeric
@attribute dissimilaridade numeric
@attribute media-tons-cinza numeric
@attribute class {atencao,normal}

@data
16,18,3,9,1.466765,0.043295,0.046907,0.208055,5.526164,1.962777,1.400942,3.74405,0.51595,1.496895,48,normal
12,10,7,8,0.204784,0.787549,0.195463,0.887408,10.066056,0.061655,0.248065,0.099116,0.950442,0.099116,86,normal
15,15,5,7,0.070511,0.937632,0.201065,0.968313,14.018963,0.018558,0.134343,0.02602,0.98699,0.02602,117,normal
16,14,8,8,1.01987,0.127083,0.225848,0.356482,5.520055,0.678288,0.823382,1.051694,0.674289,0.744918,48,normal
47,30,3,9,1.673358,0.028886,0.239705,0.169957,4.110946,3.112012,1.763712,4.734186,0.486821,1.697301,37,normal
8,8,7,8,0.431114,0.483301,0.249296,0.694461,9.210459,0.165969,0.407271,0.251276,0.874362,0.251276,78,normal
10,9,8,8,0.572676,0.314661,0.259856,0.56064,10.336323,0.239242,0.488998,0.354282,0.822859,0.354282,86,normal
13,18,8,8,1.621298,0.032364,0.266811,0.179884,8.510948,3.516152,1.875095,5.155527,0.480527,1.752132,72,normal
10,10,8,8,0.82551,0.196372,0.270725,0.442614,6.341975,0.440567,0.662439,0.653086,0.724074,0.57716,55,normal
18,10,2,8,0.873088,0.177788,0.288151,0.421582,17.166385,0.495443,0.703735,0.707244,0.724694,0.588544,141,normal
8,11,6,7,0.284612,0.729732,0.333112,0.85403,9.964651,0.088119,0.29664,0.118912,0.940544,0.118912,83,normal
28,11,2,7,0.092012,0.921332,0.377102,0.95985,17.974895,0.024474,0.156414,0.030712,0.984644,0.030712,148,normal
28,31,8,7,1.730254,0.024338,0.395046,0.155962,8.25577,3.777838,1.94366,4.574019,0.489614,1.66757,70,normal
10,9,7,6,0.536083,0.432645,0.401289,0.657396,6.899923,0.220306,0.469025,0.267978,0.866011,0.267978,60,normal
13,9,3,8,0.563032,0.334781,0.402464,0.578324,15.333856,0.241938,0.491838,0.28973,0.855135,0.28973,126,normal
15,15,5,8,0.392994,0.549447,0.409873,0.740961,6.8196,0.153784,0.391892,0.182228,0.908886,0.182228,58,normal
31,21,2,8,0.930692,0.164661,0.42546,0.40564,17.210921,0.566967,0.752946,0.65121,0.745354,0.542731,142,normal
25,8,8,6,1.05584,0.111996,0.438702,0.33463,17.084542,0.793196,0.890509,0.899561,0.699013,0.673162,141,normal
14,13,6,6,0.122458,0.893194,0.43899,0.945084,9.991481,0.035662,0.187771,0.03877,0.980615,0.03877,84,normal
18,15,4,8,0.887571,0.160258,0.449596,0.400109,11.638813,0.55217,0.743056,0.610002,0.744812,0.535282,97,normal
9,11,9,9,0.718121,0.233848,0.457987,0.483352,10.465294,0.359135,0.598587,0.407986,0.800174,0.401736,88,normal
25,10,3,7,0.399227,0.546658,0.464227,0.739257,5.815775,0.158919,0.398557,0.170347,0.914826,0.170347,50,normal
10,10,4,0,0.710562,0.262109,0.470375,0.510631,7.045833,0.355723,0.595792,0.380556,0.809722,0.380556,60,normal
23,18,5,0,0.260519,0.718472,0.477073,0.847394,13.892449,0.095972,0.309764,0.101126,0.949437,0.101126,114,normal
8,11,6,8,0.180209,0.813092,0.48329,0.901612,12.065463,0.06055,0.241639,0.071266,0.964367,0.071266,102,normal
50,24,8,8,0.676827,0.266745,0.490639,0.516283,9.657762,0.324594,0.569725,0.331435,0.83517,0.330104,81,normal
24,20,4,9,0.851043,0.19934,0.501978,0.446138,7.069799,0.505426,0.709987,0.507914,0.780431,0.455912,61,normal
11,10,6,8,0.51181,0.463518,0.511674,0.680378,13.121427,0.215346,0.463918,0.217702,0.891149,0.217702,109,normal
22,21,4,9,0.925453,0.169725,0.512465,0.411715,12.19514,0.596195,0.772057,0.581124,0.770503,0.489527,102,normal
11,14,6,0,0.496155,0.466868,0.520703,0.682903,8.845086,0.210423,0.458255,0.207255,0.896372,0.207255,75,normal
46,10,3,7,0.695373,0.264608,0.523068,0.514273,17.645731,0.347166,0.589143,0.33222,0.843531,0.317759,145,normal
15,17,4,7,0.158685,0.852319,0.523189,0.923189,13.949713,0.050957,0.225674,0.048796,0.975602,0.048796,114,normal
29,14,9,8,0.380068,0.622061,0.525655,0.788661,11.948349,0.151208,0.387656,0.146633,0.926684,0.146633,99,normal
14,16,9,7,0.582843,0.310486,0.526414,0.556959,14.416472,0.272255,0.521768,0.260073,0.871673,0.257509,119,normal
18,9,4,0,0.549532,0.335295,0.527135,0.577812,8.378472,0.256834,0.506661,0.245915,0.877042,0.245915,71,normal
14,8,3,8,0.23359,0.749179,0.527773,0.86521,12.903405,0.087146,0.294814,0.085263,0.957369,0.085263,107,normal
15,13,5,9,0.292797,0.674723,0.537645,0.821193,12.867407,0.114823,0.338517,0.108364,0.945818,0.108364,106,normal
67,38,2,8,1.291824,0.069266,0.542435,0.26313,9.317739,1.396694,1.181808,1.279402,0.652772,0.829651,78,normal
17,14,4,0,0.608197,0.303818,0.543156,0.550862,15.441916,0.289395,0.53794,0.265236,0.870587,0.260428,128,normal
9,9,5,8,0.19851,0.791196,0.543776,0.88947,11.923177,0.070241,0.261291,0.073785,0.963108,0.073785,97,normal
17,13,6,9,0.882596,0.178548,0.548206,0.42212,10.924317,0.559579,0.747837,0.510599,0.78176,0.454521,92,normal
17,9,4,9,0.242884,0.73095,0.551546,0.854878,13.104084,0.092113,0.299836,0.09412,0.95294,0.09412,111,normal
8,10,8,7,0.204932,0.776884,0.555327,0.881346,13.081647,0.073814,0.265766,0.082341,0.958829,0.082341,110,normal
9,14,5,9,0.545791,0.361761,0.556933,0.600913,11.311289,0.252623,0.502516,0.234986,0.882507,0.234986,94,normal
10,8,6,9,0.356125,0.621942,0.560068,0.788371,16.061062,0.145833,0.379492,0.139782,0.930109,0.139782,132,normal
8,8,6,6,0.594051,0.297126,0.562786,0.544134,11.398916,0.297636,0.544683,0.274872,0.862564,0.274872,94,normal
15,15,6,7,0.137957,0.870977,0.564473,0.933241,12.047917,0.045546,0.212625,0.039541,0.98023,0.039541,101,normal
11,12,5,8,0.260479,0.753698,0.564819,0.868064,12.991494,0.092077,0.302985,0.082782,0.958609,0.082782,109,normal
13,11,8,7,0.521088,0.332474,0.56677,0.576264,9.494981,0.24812,0.498114,0.222421,0.888789,0.222421,80,normal
33,15,2,8,0.236821,0.78439,0.569323,0.885636,13.998745,0.080532,0.283264,0.070563,0.964719,0.070563,117,normal
15,9,3,8,0.431592,0.470645,0.572387,0.685854,9.734053,0.194078,0.440179,0.171875,0.914063,0.171875,81,normal
12,12,8,8,1.199174,0.085711,0.573914,0.29251,14.997676,1.456528,1.206497,1.250172,0.667826,0.796315,125,normal
12,25,4,7,0.530059,0.437607,0.576287,0.661114,15.833003,0.236322,0.486053,0.201114,0.899443,0.201114,131,normal
14,8,2,9,0.491761,0.377427,0.581937,0.614145,14.627968,0.232073,0.481619,0.200108,0.899946,0.200108,121,normal
21,30,5,9,0.797447,0.212019,0.582854,0.460039,10.938813,0.463483,0.680792,0.387055,0.819034,0.368212,91,normal
30,23,3,8,0.115256,0.909577,0.584002,0.953714,13.008632,0.032732,0.180757,0.027382,0.986309,0.027382,108,normal
8,11,5,9,0.516979,0.339742,0.585063,0.582722,9.535065,0.24745,0.497438,0.210308,0.894846,0.210308,81,normal
17,12,2,7,0.516558,0.339098,0.586105,0.581725,14.511416,0.249024,0.499022,0.209287,0.895356,0.209287,120,normal
10,9,6,6,0.291336,0.706053,0.592708,0.840196,3.936323,0.111743,0.333057,0.096335,0.951833,0.096335,36,normal
13,18,4,8,0.652015,0.311427,0.59709,0.557876,11.842519,0.332201,0.576296,0.26855,0.865725,0.26855,99,normal
13,9,4,9,0.436179,0.458613,0.600362,0.676964,10.283531,0.201833,0.448917,0.167357,0.916322,0.167357,87,normal
20,19,6,9,0.462767,0.522057,0.600904,0.722447,11.121625,0.197911,0.444809,0.158439,0.92078,0.158439,93,normal
13,9,5,0,0.420787,0.479199,0.600927,0.691718,5.267305,0.194685,0.44085,0.160635,0.919683,0.160635,46,normal
66,20,7,9,1.111552,0.108021,0.602964,0.328587,10.7295,1.003707,1.001706,0.796414,0.718154,0.6199,90,normal
37,22,8,6,0.416466,0.504265,0.605558,0.710056,15.758049,0.18656,0.431896,0.147444,0.926278,0.147444,130,normal
15,13,4,8,0.643397,0.29228,0.609208,0.540132,7.662481,0.336506,0.58,0.263866,0.873867,0.255166,65,normal
18,28,6,9,0.560059,0.382653,0.613123,0.618444,10.751621,0.266931,0.516585,0.207054,0.897199,0.205964,90,normal
13,18,2,8,0.516798,0.439251,0.615003,0.662699,5.838316,0.242587,0.492135,0.189076,0.905462,0.189076,51,normal
8,12,1,6,0.407536,0.538333,0.617793,0.73356,14.191356,0.177785,0.420633,0.145427,0.927286,0.145427,117,normal
11,9,0,6,0.419086,0.487194,0.61854,0.697933,14.73679,0.193385,0.439587,0.148895,0.925552,0.148895,122,normal
18,29,4,8,0.334805,0.61376,0.619301,0.783229,14.175059,0.144394,0.379972,0.110447,0.944776,0.110447,118,normal
8,9,5,9,0.267214,0.69866,0.620136,0.8357,12.874566,0.108702,0.327544,0.092882,0.953559,0.092882,108,normal
46,22,2,8,1.069064,0.124134,0.623266,0.352232,17.061117,0.964351,0.981917,0.730283,0.733823,0.580264,141,normal
28,23,7,7,0.907948,0.177656,0.625441,0.421069,4.136028,0.637786,0.798591,0.478454,0.793106,0.42933,37,normal
26,13,6,8,0.605324,0.358713,0.631694,0.598548,15.700176,0.314446,0.56034,0.239263,0.883702,0.234263,130,normal
18,14,4,7,0.523834,0.34835,0.631824,0.589994,2.461588,0.258683,0.508508,0.193502,0.903249,0.193502,24,normal
31,18,4,0,0.38191,0.555506,0.633526,0.745261,7.215378,0.17264,0.415391,0.127417,0.936292,0.127417,62,normal
10,17,8,6,0.612488,0.306045,0.635333,0.552656,16.48868,0.319233,0.564638,0.234671,0.882664,0.234671,136,normal
22,47,5,7,0.243263,0.769144,0.639531,0.877005,13.947074,0.088949,0.297073,0.067171,0.966414,0.067171,115,normal
13,11,9,7,0.501948,0.355336,0.63965,0.595767,14.474286,0.248938,0.498936,0.180828,0.909586,0.180828,120,normal
9,13,4,9,0.569093,0.352152,0.639816,0.592737,8.405727,0.326482,0.569094,0.25434,0.87283,0.25434,71,normal
12,23,6,8,0.697725,0.286554,0.640973,0.534639,13.568814,0.407627,0.638332,0.294279,0.859628,0.284128,112,normal
8,20,5,9,0.519986,0.460903,0.641651,0.678862,13.999624,0.243654,0.492983,0.185808,0.907096,0.185808,116,normal
26,39,4,8,0.196526,0.827325,0.643532,0.909553,13.977826,0.066878,0.258314,0.048107,0.975946,0.048107,115,normal
14,14,5,8,0.456249,0.441313,0.643703,0.663916,8.702399,0.218847,0.467648,0.160926,0.919537,0.160926,74,normal
23,22,8,9,0.486449,0.379396,0.643725,0.615679,15.400299,0.239756,0.489635,0.172002,0.913999,0.172002,127,normal
22,10,5,8,0.53053,0.396612,0.644451,0.629491,12.75282,0.261721,0.510896,0.191811,0.904095,0.191811,106,normal
18,22,5,9,0.509703,0.404879,0.647792,0.636202,7.702579,0.244981,0.494916,0.175162,0.912419,0.175162,66,normal
93,34,8,6,0.489675,0.444096,0.648188,0.666315,15.745986,0.229289,0.478836,0.161701,0.919587,0.161044,130,normal
10,22,7,7,0.240533,0.764807,0.649153,0.874496,14.931343,0.090483,0.299969,0.066318,0.966841,0.066318,125,normal
37,12,6,0,0.203982,0.78343,0.649556,0.885112,13.079629,0.078393,0.275081,0.066478,0.966761,0.066478,109,normal
8,12,4,9,0.955103,0.14318,0.650183,0.377785,7.232481,0.770232,0.877454,0.549919,0.754983,0.505005,61,normal
41,8,5,0,0.419604,0.510862,0.651676,0.714651,6.224443,0.193065,0.438606,0.141118,0.929441,0.141118,54,normal
26,11,5,9,0.525529,0.366699,0.652461,0.605011,13.383941,0.259593,0.50949,0.180916,0.909542,0.180916,111,normal
56,73,5,8,1.368093,0.059691,0.652773,0.244259,9.561156,1.852862,1.361169,1.287681,0.656033,0.824384,80,normal
48,13,9,6,0.530993,0.446035,0.655471,0.667684,8.120832,0.25274,0.502709,0.17439,0.912805,0.17439,69,normal
8,9,4,0,0.484496,0.370372,0.656306,0.607969,10.439298,0.243682,0.493597,0.177083,0.911458,0.177083,87,normal
61,23,7,0,0.52677,0.395937,0.660711,0.628909,7.314466,0.260484,0.510373,0.176763,0.914874,0.17188,62,normal
13,18,4,8,0.302061,0.655081,0.662092,0.809296,15.156271,0.131658,0.362604,0.090299,0.954851,0.090299,126,normal
21,10,4,0,0.369928,0.556621,0.664679,0.746034,15.218366,0.170317,0.41249,0.116521,0.941739,0.116521,125,normal
13,13,3,7,0.227258,0.756144,0.665998,0.869538,13.102364,0.091527,0.30145,0.065037,0.967481,0.065037,109,normal
10,15,4,7,0.547546,0.34003,0.667408,0.58281,13.50205,0.287472,0.536113,0.200661,0.899669,0.200661,112,normal
9,11,4,8,0.51841,0.452713,0.668984,0.672493,13.888258,0.250851,0.500735,0.170455,0.914773,0.170455,116,normal
69,44,1,7,0.893028,0.19148,0.669145,0.4374,11.104283,0.627772,0.792256,0.416032,0.808535,0.391174,93,normal
52,36,8,9,0.567078,0.408255,0.669282,0.638786,13.871455,0.282191,0.531191,0.187197,0.906588,0.186916,115,normal
31,34,7,8,0.561031,0.372266,0.672861,0.609836,11.274574,0.283854,0.532752,0.186152,0.906924,0.186152,94,normal
19,25,5,8,0.476692,0.519943,0.67295,0.720992,10.00208,0.219015,0.467889,0.142964,0.928518,0.142964,84,normal
25,9,2,8,0.755347,0.243848,0.677204,0.493723,17.782581,0.467278,0.683502,0.303796,0.849838,0.301192,146,normal
38,27,2,8,0.958558,0.153361,0.679296,0.391324,9.446364,0.738377,0.859242,0.474527,0.787144,0.437915,80,normal
18,23,3,7,0.489799,0.366401,0.679461,0.605051,7.500972,0.24976,0.49976,0.161028,0.919486,0.161028,64,normal
12,14,6,8,0.618142,0.327204,0.680873,0.571691,15.628653,0.333418,0.577133,0.214348,0.892826,0.214348,129,normal
13,11,8,8,0.972854,0.141181,0.683802,0.375263,10.882343,0.813837,0.900858,0.533508,0.768677,0.480361,91,normal
19,39,7,7,0.536293,0.350403,0.685526,0.591695,16.493257,0.278057,0.527278,0.175464,0.912755,0.174733,136,normal
17,17,6,8,0.750756,0.241107,0.687839,0.490473,9.451545,0.462823,0.680007,0.295094,0.853755,0.293141,80,normal
14,27,6,9,0.400825,0.504939,0.687881,0.710325,5.735113,0.194629,0.441137,0.121967,0.939016,0.121967,49,normal
34,20,3,9,0.441838,0.441872,0.687904,0.664606,13.673236,0.219726,0.468711,0.138399,0.9308,0.138399,113,normal
38,39,7,8,0.555772,0.444563,0.688872,0.666612,11.136923,0.283463,0.532409,0.176375,0.911813,0.176375,93,normal
20,19,7,8,0.568514,0.329043,0.689319,0.573292,14.588383,0.310037,0.556609,0.194383,0.902809,0.194383,121,normal
39,15,4,9,0.376806,0.550944,0.690327,0.742171,17.229282,0.178964,0.423026,0.11069,0.944655,0.11069,143,normal
18,23,5,8,1.114002,0.098602,0.690718,0.31373,12.816264,1.113723,1.05514,0.697309,0.730213,0.578758,107,normal
9,8,9,7,0.771406,0.212812,0.691482,0.460793,7.54238,0.526482,0.724297,0.353733,0.829086,0.344804,65,normal
